BTC,ETH,ADA,BNB,XRP,SOL,DOT,DOGE,MATIC,LTC,date
-3.3274916586019985e-22,-5.524147832736557e-23,-1.1092105950169391e-22,1.0,-1.106592863972217e-22,-2.356697247124073e-22,-2.2207352145527673e-22,-1.1082127561912403e-22,3.106330381223871e-25,-5.53299376964105e-23,2018-07-10
1.1115408318292107e-22,1.4450425321246437e-25,5.563145282288611e-23,1.0,1.3614157804518729e-25,-1.6640839890418303e-22,1.1121178180304283e-22,5.560767081593151e-23,-2.705340388408337e-26,-1.10952996479975e-22,2018-07-17
5.751178835739078e-22,5.0787368208529635e-22,7.881667134176146e-22,0.3317923500234715,5.433664587483015e-22,7.391636951102604e-22,-1.5176280928482172e-22,8.993710310449649e-22,0.6682076499765286,9.036445048721646e-23,2018-07-24
1.6681937407878084e-22,1.1192061278021438e-22,-9.67490414528714e-23,1.0,4.759120977334284e-25,1.1175384990251475e-22,1.6722456965933431e-22,8.98734769582647e-23,1.3933852476149735e-22,-2.4918866185688473e-22,2018-07-31
1.690327774625086e-22,3.332304948442875e-22,4.387754191394368e-24,1.1384615722815283e-22,1.1847062719321867e-22,3.11937795785629e-22,1.0,1.1480905773330823e-22,1.1361912632523704e-22,1.7054822079604334e-22,2018-08-07
-1.6467590098869628e-22,1.531132953411946e-24,1.8209657778904476e-22,-1.1011820048619912e-22,1.3641158071225274e-24,-1.2610310374757016e-23,1.0,7.078233087923026e-23,1.1246279374495883e-22,-1.0950386208627564e-22,2018-08-14
5.798497613238508e-22,0.33771224408543704,-4.959487553596176e-22,-7.836873547665834e-22,-4.59893461675807e-22,1.8284171082927925e-22,0.662287755914563,-6.6307469576528e-22,-5.06098116998172e-23,-8.318483139291849e-22,2018-08-21
1.0,2.085392136661358e-25,1.3183061266515385e-25,-1.6643844235821698e-22,3.4884773142788335e-25,-1.109665899739379e-22,-2.7728628389291906e-22,-9.616334612672664e-27,-2.220284214953977e-22,1.1123923065350016e-22,2018-08-28
1.3565098934708292e-22,5.132361565883156e-23,5.402844650318414e-23,2.0461086292931837e-22,-5.660123688785594e-23,1.0,-5.1757346122893565e-24,1.6223438348355555e-22,-8.273687892552888e-23,-1.1601446896238926e-22,2018-09-04
-2.717479861893254e-22,-3.7310772664232205e-22,-3.262619042760259e-22,4.162665014900366e-24,-1.0597563098025034e-22,-1.0145517990676853e-22,-2.1604299111829677e-22,-2.8222989018187905e-22,-2.1345895432580374e-22,1.0,2018-09-11
1.727489475174397e-22,6.2025642742406346e-24,-1.5834461000290383e-22,-4.7131568880107497e-23,1.1560687133466094e-22,-2.1728379878618077e-22,1.1679039617760184e-22,1.0,-1.0433726164240772e-22,9.425411297806623e-23,2018-09-18
-1.109545563915557e-22,-1.6651533067852628e-22,-1.6641908910343633e-22,2.7778872118013074e-23,1.0,1.110259673601698e-22,1.9003183348003515e-25,-5.539601660163258e-23,2.6872501053295486e-25,1.1099235431747308e-22,2018-09-25
4.441042038321918e-22,1.111017894386692e-22,1.0,2.7760156405978955e-22,4.441496840885087e-22,3.3316172159851033e-22,1.1103866467578874e-22,3.331285604490824e-22,2.7749423405937096e-22,2.775608754154851e-22,2018-10-02
1.0,1.7984513625507616e-25,2.780106538760832e-23,5.567458654927e-23,-1.1114276567669964e-22,-1.1116207420676475e-22,7.872864574914752e-26,-5.529430192421927e-23,-5.560789346729978e-23,-1.5532954027354756e-25,2018-10-09
2.7822899043789523e-22,3.384393669794666e-22,1.7102016928334372e-22,3.966422284201118e-22,3.3776017083870603e-22,3.3925281952947965e-22,1.0,4.4888170357071785e-22,3.9578031325656646e-22,3.3528988781647925e-22,2018-10-16
1.1138495482463577e-22,1.0,1.6698444708584343e-22,3.6529732017965235e-25,5.56692294564924e-23,4.907393982706562e-25,5.593971519455098e-23,5.57819190349086e-23,2.222387845832101e-22,1.6688340756089068e-22,2018-10-23
1.768291350936135e-22,2.151972481217688e-22,1.1799964775066613e-22,2.1508735593194493e-22,8.093922311340841e-23,0.5073438392357308,0.49265616076426927,4.332901877349218e-22,1.2812782756795792e-22,3.2618681084384684e-23,2018-10-30
1.6675151045664976e-22,1.0,1.112922871237879e-22,-5.478163389684629e-23,1.4608318126672693e-22,1.6668884161839465e-22,5.594674003403796e-23,1.6701713817894243e-22,3.3354509359865473e-22,2.7763053615443255e-22,2018-11-06
-1.465931455363637e-21,2.05829997755093e-22,0.8988619542513208,-6.46783389277101e-22,-1.12690841217332e-21,1.0371539506683e-21,-1.5780007445521986e-21,-3.3539059016502478e-22,0.10113804574867921,-2.025202882248006e-21,2018-11-13
-1.9405200521842267e-22,-1.1058190592092255e-22,1.0,-1.1075701014565606e-22,-2.7449309418764236e-23,-2.746337870909765e-23,-6.207994147564163e-23,-1.107958056247067e-22,1.4120362478020713e-23,-1.6630780562413175e-22,2018-11-20
-2.7410834634320503e-22,-2.197854165106468e-22,-4.98912275268289e-22,-3.273924205989421e-22,-3.5925660636175044e-22,-2.2339516442734987e-22,-2.949062966010939e-22,-3.299148120709304e-22,1.0,-3.2804340904203234e-22,2018-11-27
1.0,-1.6656337198872024e-22,1.4216349721735556e-26,1.6001066938889222e-25,-9.680193716848299e-23,-1.1097220523531342e-22,-5.54939630291686e-23,-5.56527602479071e-23,5.624506455557487e-26,1.1136888707460663e-22,2018-12-04
1.0,1.6755149733435923e-22,1.119872276709696e-22,5.637357122654905e-23,-5.434454932910445e-23,1.6351358929034262e-24,1.1152109783326172e-22,1.479160297118918e-24,1.679315797560251e-22,1.1173977356828516e-22,2018-12-11
0.13268539288123324,2.028647084499001e-22,-3.311347745408319e-22,-3.848437624962496e-22,2.862591297161347e-22,-2.5544741043030415e-22,-6.75618913767172e-23,-3.5435509221080847e-22,7.027054007519872e-24,0.8673146071187667,2018-12-18
5.286760925249951e-24,3.1642196375952447e-24,-5.315447454556373e-23,1.3947351427136097e-24,1.0,2.09912750386841e-24,2.2350203490088373e-22,1.153359779111295e-22,5.947840293922372e-23,3.185399914570208e-23,2018-12-25
-1.1043774913243507e-22,5.982192090759029e-25,-2.492595429532525e-22,1.0,-1.1075607968961096e-22,-1.9399133975175502e-22,-4.438662718838346e-22,-3.050562537210093e-22,-5.497955733073292e-23,-1.1097168729728459e-22,2019-01-01
